status,original_rtd_canonical_url,mintlify_canonical_url,mintlify_route,note
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/Installation/Index.html,http://192.168.0.137:3000/EXTBootstrap/Installation/Index,/EXTBootstrap/Installation/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/Introduction/Index.html,http://192.168.0.137:3000/EXTBootstrap/Introduction/Index,/EXTBootstrap/Introduction/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/Localization/Index.html,http://192.168.0.137:3000/EXTBootstrap/Localization/Index,/EXTBootstrap/Localization/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/SEO/Index.html,http://192.168.0.137:3000/EXTBootstrap/SEO/Index,/EXTBootstrap/SEO/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/SpeedPerformance/Index.html,http://192.168.0.137:3000/EXTBootstrap/SpeedPerformance/Index,/EXTBootstrap/SpeedPerformance/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/TemplatesLayouts/Index.html,http://192.168.0.137:3000/EXTBootstrap/TemplatesLayouts/Index,/EXTBootstrap/TemplatesLayouts/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/UpdateVersion/Index.html,http://192.168.0.137:3000/EXTBootstrap/UpdateVersion/Index,/EXTBootstrap/UpdateVersion/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTBootstrap/UpgradeGuide/Index.html,http://192.168.0.137:3000/EXTBootstrap/UpgradeGuide/Index,/EXTBootstrap/UpgradeGuide/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/CaptchaConfiguration/Index.html,http://192.168.0.137:3000/EXTKarma/CaptchaConfiguration/Index,/EXTKarma/CaptchaConfiguration/Index,"Same route structure, RTD prefix removed, .html removed"
exact_structural_match,https://docs.t3planet.de/en/latest/EXTKarma/ContentBlockElements/Index.html,http://192.168.0.137:3000/EXTKarma/ContentBlockElements/Index,/EXTKarma/ContentBlockElements/Index,"Same route structure, RTD prefix removed, .html removed"
